id,name,k1,k2,k3,avg_test_ll,avg_lp.min
sz3fkddl,fearless-sweep-181,16,6,2,-27.990365982055664,-34.9091682434082
404da3ix,brisk-sweep-182,16,6,4,-24.117692947387695,-34.86048889160156
xo120z94,driven-sweep-183,16,6,8,-20.835430145263672,-35.01882553100586
n1jhc0od,treasured-sweep-184,16,6,16,-18.87578773498535,-34.84986877441406
pczqu9hm,desert-sweep-185,16,6,24,-19.10531997680664,-34.87714767456055
fr9clddi,floral-sweep-186,16,6,36,-18.28648376464844,-34.824005126953125
dc1nv96u,elated-sweep-187,16,6,48,-18.570573806762695,-34.57529067993164
k2lzbvm9,ethereal-sweep-188,16,6,72,-18.75418281555176,-34.994937896728516
p4xjtyab,brisk-sweep-189,16,6,90,-19.24880027770996,-34.90023422241211
oz4tulb7,graceful-sweep-190,16,8,2,-28.2757511138916,-34.7578125
1f53i32q,leafy-sweep-191,16,8,4,-23.41407012939453,-34.85029602050781
6dgigjvc,efficient-sweep-192,16,8,8,-20.448577880859375,-35.001487731933594
wdu5g8iq,dainty-sweep-193,16,8,16,-19.271787643432617,-34.8089599609375
awsh6ql1,stoic-sweep-194,16,8,24,-19.08989906311035,-34.705665588378906
xwpad1jf,lilac-sweep-195,16,8,36,-19.112342834472656,-34.63701629638672
c3y63h0f,chocolate-sweep-196,16,8,48,-19.20978355407715,-34.80497741699219
li0u62di,stilted-sweep-197,16,8,72,-18.681293487548828,-34.570796966552734
bpq5vb0k,worldly-sweep-198,16,8,90,-18.53054428100586,-34.89197540283203
cqfa041i,charmed-sweep-200,16,16,4,-24.57497787475586,-34.85677719116211
snd4byxl,quiet-sweep-201,16,16,8,-20.52940368652344,-34.92793273925781
5goetd2k,tough-sweep-202,16,16,16,-18.680843353271484,-34.91236877441406
midwxcmq,gentle-sweep-203,16,16,24,-18.115631103515625,-34.985084533691406
7qduzv0a,youthful-sweep-204,16,16,36,-18.880603790283203,-34.82809829711914
ynns77st,stellar-sweep-205,16,16,48,-19.042442321777344,-34.40575408935547
69yj5mob,restful-sweep-207,16,16,90,-19.333730697631836,-34.26922607421875
ae6qolij,dandy-sweep-206,16,16,72,-19.729259490966797,-34.31411361694336
frxk2vo7,upbeat-sweep-208,16,20,2,-27.995744705200195,-34.81458282470703
pkl0rub2,grateful-sweep-209,16,20,4,-24.869535446166992,-34.62115478515625
0qvfaj4f,apricot-sweep-210,16,20,8,-20.768808364868164,-34.85566329956055
7d9fa2ti,gallant-sweep-212,16,20,24,-18.446386337280273,-34.95337677001953
y3xw12vu,vocal-sweep-211,16,20,16,-18.57636260986328,-34.926910400390625
nn46jnl1,misty-sweep-213,16,20,36,-19.61240005493164,-34.97876739501953
kxvk6xwa,genial-sweep-214,16,20,48,-18.47579574584961,-34.698692321777344
2xxj0m2e,drawn-sweep-215,16,20,72,-19.256364822387695,-34.62785339355469
kqbdea23,cosmic-sweep-216,16,20,90,-19.206527709960938,-34.83457565307617
k6iwbq64,crimson-sweep-218,32,2,4,-25.35401153564453,-34.17840576171875
wf05tbry,jolly-sweep-217,32,2,2,-28.29690933227539,-34.69691467285156
ax1ejex1,clear-sweep-219,32,2,8,-20.724590301513672,-34.80143737792969
gtzs5dm0,warm-sweep-221,32,2,24,-18.5259952545166,-34.66825866699219
oluzkfcg,cool-sweep-220,32,2,16,-18.704425811767575,-34.84609603881836
w1k0nu69,cosmic-sweep-222,32,2,36,-18.368738174438477,-34.6494140625
s06r0yav,fine-sweep-223,32,2,48,-18.551830291748047,-34.41050338745117
gphub087,comfy-sweep-224,32,2,72,-17.75801658630371,-34.55437088012695
foyypi5u,generous-sweep-225,32,2,90,-18.273130416870117,-34.56673812866211
rhcd7j54,faithful-sweep-226,32,4,2,-28.384117126464844,-34.541629791259766
e10lxv6p,good-sweep-227,32,4,4,-23.68483543395996,-34.6837043762207
wwmvbzdx,skilled-sweep-228,32,4,8,-21.763206481933594,-34.703269958496094
o9rxul8h,smooth-sweep-229,32,4,16,-18.280000686645508,-34.72427749633789
dy3zggem,daily-sweep-230,32,4,24,-18.54723739624023,-34.67431640625
8u8zjnw9,winter-sweep-231,32,4,36,-18.137041091918945,-34.732242584228516
h3r9du2v,hopeful-sweep-232,32,4,48,-17.94495391845703,-34.957298278808594
n07u7mc3,dry-sweep-233,32,4,72,-18.034564971923828,-34.461856842041016
4pcsvrhf,lunar-sweep-234,32,4,90,-17.24847412109375,-34.74162292480469
62xqasc5,sparkling-sweep-235,32,6,2,-27.91638946533203,-34.81411361694336
12o1s9a5,rich-sweep-237,32,6,8,-20.792285919189453,-34.71460723876953
gfamowx0,spring-sweep-236,32,6,4,-23.12919235229492,-35.03886413574219
n8bpmm6x,astral-sweep-238,32,6,16,-19.204187393188477,-34.4420166015625
b73aglcv,leafy-sweep-239,32,6,24,-18.219369888305664,-34.75595474243164
x3mig94b,eternal-sweep-240,32,6,36,-17.541229248046875,-34.886592864990234
y955xu5u,fresh-sweep-241,32,6,48,-17.864486694335938,-34.683631896972656
1scgiraf,flowing-sweep-242,32,6,72,-17.705585479736328,-34.81919479370117
obsqpr8u,deep-sweep-243,32,6,90,-18.655517578125,-34.51103210449219
fgf0gwhr,distinctive-sweep-244,32,8,2,-28.2912654876709,-34.68120574951172
r1fl513w,floral-sweep-245,32,8,4,-25.316118240356445,-34.827877044677734
p12l2z8z,faithful-sweep-246,32,8,8,-21.38677024841309,-34.56946563720703
gsrc528g,daily-sweep-247,32,8,16,-18.50664710998535,-35.017982482910156
atdnf67t,splendid-sweep-248,32,8,24,-18.170530319213867,-34.79248046875
58i8l94a,stellar-sweep-249,32,8,36,-18.340559005737305,-34.73933029174805
b68ua3j8,crimson-sweep-250,32,8,48,-18.438940048217773,-34.424102783203125
94w6i6ml,bumbling-sweep-251,32,8,72,-17.99034309387207,-34.70637893676758
crudliz2,tough-sweep-252,32,8,90,-18.167709350585938,-34.801204681396484
xxao0vq6,desert-sweep-253,32,16,2,-32.08058166503906,-34.38288879394531
r5vavpuh,likely-sweep-254,32,16,4,-23.31141662597656,-34.9796257019043
rngzdr1x,icy-sweep-255,32,16,8,-21.05980110168457,-34.94878005981445
axxezabh,stellar-sweep-256,32,16,16,-20.066770553588867,-34.41267013549805
psxhzvch,fearless-sweep-257,32,16,24,-18.25147819519043,-34.70072937011719
o9o6dgfa,radiant-sweep-258,32,16,36,-18.831640243530273,-34.50051498413086
v6n2k4ko,rosy-sweep-259,32,16,48,-19.20610809326172,-34.55809020996094
s54jmntx,vibrant-sweep-260,32,16,72,-18.84143829345703,-34.27812957763672
nl0y9fxy,rose-sweep-261,32,16,90,-20.086040496826172,-34.419063568115234
5qgxd9mh,pleasant-sweep-262,32,20,2,-28.23470687866211,-34.7087516784668
5mca6kk0,cerulean-sweep-263,32,20,4,-24.36899185180664,-34.723052978515625
fln7l7ue,lyric-sweep-264,32,20,8,-21.977846145629883,-34.70452117919922
zewi5j1r,laced-sweep-265,32,20,16,-19.52381134033203,-34.54094314575195
if6yfmol,dark-sweep-266,32,20,24,-19.87781143188477,-34.54774475097656
i8k3rir2,fresh-sweep-267,32,20,36,-19.232999801635746,-34.37644577026367
ss4mjhia,neat-sweep-268,32,20,48,-18.837356567382812,-34.40919494628906
tbvvfxbw,mild-sweep-269,32,20,72,-19.38549041748047,-34.52370834350586
vzzsuqoe,lyric-sweep-270,32,20,90,-19.151634216308594,-34.36858367919922
p2n8s5ab,glowing-sweep-271,64,2,2,-28.23422622680664,-34.6492805480957
5irohbpf,young-sweep-272,64,2,4,-23.629323959350582,-34.39936447143555
hqjlgnaz,floral-sweep-273,64,2,8,-21.536922454833984,-34.59988021850586
